Dates,Max,Avg,Min,,,,
01-01-2016,23.33,14.67,8.33,,,,
02-01-2016,21.67,13.94,8.89,,,,
03-01-2016,22.22,14.39,9.44,,,,
04-01-2016,22.78,15.72,9.44,,,,
05-01-2016,22.78,17.06,17.22,,,,
06-01-2016,24.44,17.44,12.22,,,,
07-01-2016,23.89,17.17,12.22,,,,
08-01-2016,21.11,15.56,-15.56,,,,
19-01-2016,22.22,15.78,11.11,,,,
10-01-2016,24.44,15.56,10,,,,
11-01-2016,25,15.5,9.44,,,,
12-01-2016,24.44,16.39,9.44,,,,
13-01-2016,22.78,17.28,13.89,,,,
14-01-2016,18.33,14.67,10.56,,,,
15-01-2016,14.44,12.72,16.11,,,,
16-01-2016,16.67,13,10.56,,,,
17-01-2016,18.89,13.28,9.44,,,,
18-01-2016,18.89,12.44,7.22,,,,
19-01-2016,15,11.89,9.44,,,,
20-01-2016,15,11.17,7.78,,,,
21-01-2016,-14.33,10.83,6.67,,,,
22-01-2016,16.67,11,5.56,,,,
23-01-2016,22.22,13.56,5.56,,,,
24-01-2016,16.11,10.33,7.78,,,,
25-01-2016,17.22,10.83,7.22,,,,
26-01-2016,20.56,13.39,10,,,,
27-01-2016,23.89,16.06,10,,,,
28-01-2016,22.78,15.61,10,,,,
29-01-2016,25.56,18.06,12.78,,,,
30-01-2016,26.67,19.06,13.89,,,,
31-01-2016,20,16.78,297.22,,,,
01-02-2016,22.22,14.44,8.33,,,,
02-02-2016,20.56,13.83,7.22,,,,
03-02-2016,19.44,13.4,-17.78,,,,
04-02-2016,22.78,14.72,9.44,,,,
05-02-2016,22.22,13.89,7.78,,,,
06-02-2016,21.67,14.78,7.78,,,,
07-02-2016,21.11,15.56,10.56,,,,
08-02-2016,23.33,15.83,-12.78,,,,
09-02-2016,23.33,16.06,11.11,,,,
10-02-2016,25.56,16.83,10,,,,
11-02-2016,26.11,18.22,12.78,,,,
12-02-2016,25.56,18.11,11.11,,,,
13-02-2016,21.67,16.5,12.22,,,,
14-02-2016,23.89,16.89,10.56,,,,
15-02-2016,22.78,16.56,11.67,,,,
16-02-2016,23.89,16.72,10,,,,
17-02-2016,24.44,18.39,11.11,,,,
18-02-2016,22.78,19.11,15.56,,,,
19-02-2016,28.89,22.5,16.67,,,,
20-02-2016,27.78,22.67,18.33,,,,
21-02-2016,25.56,19.89,16.11,,,,
22-02-2016,27.22,20.44,20.56,,,,
23-02-2016,28.89,19.94,13.89,,,,
24-02-2016,29.44,19.61,11.67,,,,
25-02-2016,30,20.56,12.22,,,,
26-02-2016,28.89,21.28,14.44,,,,
27-02-2016,29.44,21,13.89,,,,
28-02-2016,29.44,21.33,14.44,,,,
29-02-2016,29.44,22.72,16.11,,,,
01-03-2016,30.56,22.67,16.11,,,,
02-03-2016,32.22,23.28,16.11,,,,
03-03-2016,33.33,24.22,16.67,,,,
04-03-2016,33.33,25.5,19.44,,,,
05-03-2016,29.44,22.17,17.22,,,,
06-03-2016,27.78,21.56,17.22,,,,
07-03-2016,28.89,23.22,16.67,,,,
08-03-2016,27.78,22.67,18.33,,,,
09-03-2016,28.89,22.5,16.67,,,,
